003,D,80125050,C,16533.78
003,D,80125050,C,6461.82
010,D,24908386,C,7068.47
001,R,73544148,C,10066.16
004,D,96376956,C,269.57
001,R,94059392,C,11335.56
003,D,44240126,E,3306.72
001,D,69016663,C,13653.99
002,R,62173413,C,7627.53
004,R,68168171,E,14308.49
010,D,19598750,C,9324.45
002,R,23045932,E,10893.32
004,D,50102758,E,4033.55
001,D,18778637,C,3984.13
004,R,26818535,E,3234.29
002,R,33388336,C,4516.14
003,D,59475125,C,12446.28
001,D,24185178,E,7422.92
001,D,78196611,E,511.36
010,R,92200362,C,4152.47
002,R,59487418,C,4052.91
010,R,72029305,E,6430.15
001,R,25406802,C,13933.22
004,D,68958820,E,2389.68
001,R,22769771,E,13633.41
002,R,23098509,C,12228.06
001,R,47958516,E,8398.64
010,R,96570827,E,14096.07
001,D,68993010,C,501.80
001,R,86421637,C,8758.26
001,R,91521274,E,1250.30
001,R,76881922,C,12642.70
010,R,88182523,E,11357.36
003,R,16826886,C,1460.73
001,D,76881922,C,14058.88
004,R,26818535,E,11495.05
004,R,34923069,C,17221.12
001,D,35064840,C,8569.54
002,R,45980439,C,12912.52
003,R,94060961,E,7310.53
004,R,71173241,E,9434.72
010,D,24596408,C,17483.91
001,R,68993010,C,11710.57
004,R,32958561,E,2737.09
010,D,38009354,C,7494.43
001,R,59219337,E,6730.84
004,D,34842257,E,4642.42
002,R,23098509,C,10221.22
002,R,16837003,E,4562.74
001,R,24185178,C,2825.99
003,D,62673768,E,8241.18
010,R,52245158,C,1204.11
003,R,27693573,E,14349.68
002,R,33742263,E,1848.52
010,R,40341038,C,4663.26
004,R,68168171,E,8004.93
003,R,92547429,C,16759.65
010,D,58450819,C,12164.96
004,D,68958820,C,14776.87
010,R,52245158,C,10537.99
002,D,62173413,C,7426.11
010,D,49841044,C,8248.76
001,R,22769771,C,2672.63
010,D,17035798,E,4249.87
004,R,38538953,C,5031.22
003,R,84774576,E,7450.26
010,R,84323528,C,16540.55
010,D,24596408,C,10627.82
003,R,44240126,E,6128.82
003,R,14855511,E,4487.72
003,R,57771780,C,4633.64
001,R,69016663,E,8390.61
003,R,84774576,E,12618.32
002,D,33388336,C,1919.71
003,R,93633726,E,13361.34
010,R,88182523,C,3360.50
010,D,30607927,E,9281.03
003,D,35725512,E,12972.02
004,D,77921801,C,4587.55
010,D,77333643,C,12036.44
010,D,58450819,C,12320.84
001,D,53683808,C,4729.74
002,R,21098705,E,6845.71
004,R,20709792,C,6604.43
010,R,33667416,C,11747.13
002,R,48827245,E,15084.66
003,R,62673768,C,2708.17
003,R,16826886,C,13824.36
003,D,96336228,E,2385.12
003,D,52595996,C,2583.15
002,R,26551701,E,12191.68
002,R,31595728,E,9.15
010,R,30607927,E,8391.66
004,R,30143075,E,10056.58
010,R,24908386,C,11662.29
010,R,17035798,E,15588.17
010,R,79741942,C,10151.59
001,R,22769771,C,14784.98
003,R,72916905,C,10757.49
001,R,35064840,C,2153.97
001,D,91521274,C,11115.97
003,R,52595996,C,9376.52
001,R,45300432,C,15293.73
004,R,71173241,C,7298.01
002,D,33388336,C,2485.72
010,R,11071187,E,16296.03
010,D,96570827,E,16352.09
002,R,59487418,C,3108.05
001,D,73544148,C,5272.86
004,R,71173241,E,441.50
003,R,93633726,C,7805.47
001,R,24185178,C,15723.51
002,R,41585714,C,17491.11
003,R,44240126,C,14318.58
001,D,91521274,C,9133.00
001,D,68993010,C,11819.35
002,D,56192459,E,12884.69
001,R,96839968,C,2347.16
002,D,91958283,C,940.71
001,R,35064840,C,1633.99
003,D,61194129,C,5811.63
001,D,91521274,E,8845.00
010,D,40341038,E,13601.71
003,D,16826886,C,5916.72
010,D,11071187,E,11688.54
003,R,78148020,C,13674.10
010,R,72029305,E,1077.84
004,R,20709792,C,1834.24
003,R,80125050,E,13981.81
001,D,21428814,E,13971.15
010,D,99652124,C,1931.19
010,D,84323528,E,13109.81
010,D,17035798,E,16985.48
001,D,97353350,E,11988.00
010,D,38009354,E,1516.67
004,D,73842835,E,4006.69
003,D,61103948,C,1760.62
004,R,18741861,C,7093.02
001,R,96839968,E,10561.84
003,R,44240126,E,7571.25
001,R,18778637,E,4658.13
003,R,41498539,C,4776.43
010,R,50548744,C,10672.51
004,R,68958820,C,2193.32
001,D,53683808,E,11472.54
003,D,92547429,C,2213.75
001,D,18778637,C,3434.36
004,D,13100148,E,15626.15
003,D,33175743,E,1353.57
010,R,33667416,E,2908.57
002,D,26366233,C,6943.99
010,R,88182523,E,7038.22
001,D,18778637,E,13266.97
004,R,49486992,E,9286.02
003,D,83285634,C,7920.37
004,R,20709792,C,7425.86
001,D,96839968,E,5556.62
002,R,88236298,E,4208.38
010,R,17035798,E,1853.61
003,D,96336228,C,14412.56
001,R,68993010,E,9039.77
001,R,92416197,C,11895.35
002,R,33388336,C,9188.30
003,D,27693573,C,3162.92
001,R,69016663,C,16320.74
002,R,23045932,C,7700.63
010,D,11071187,E,13428.27
010,R,77333643,E,6838.34
004,R,54852765,E,14914.62
010,R,77333643,E,1050.33
010,D,88182523,E,3923.01
010,D,81485608,C,439.87
001,R,97353350,E,14727.31
003,D,21691559,E,4643.14
004,D,18741861,C,11202.04
001,R,97353350,C,11560.80
010,D,79741942,E,14009.78
002,D,86772800,E,10071.17
004,D,54078796,E,3984.98
002,D,59487418,E,1523.86
002,D,26551701,E,318.11
010,R,10417081,E,15732.59
001,D,18778637,C,731.85
010,R,68867119,E,7186.01
002,R,31595728,C,13419.55
010,D,64178375,E,11903.13
003,R,44240126,E,10211.84
003,R,90181292,E,12592.48
004,R,78896511,C,15514.52
003,D,59249398,E,5406.01
010,R,52245158,E,14756.24
010,D,68867119,E,12325.95
004,D,68958820,E,8356.12
004,D,96376956,E,13421.13
001,D,92203827,C,8570.87
002,D,45980439,E,9752.67
004,D,78896511,E,3677.55
002,R,33388336,C,6839.96
003,R,61194129,C,14203.05
002,D,22246171,E,16228.74
010,R,33667416,C,16380.48
010,R,96570827,E,6969.94
002,D,23045932,E,17134.76
004,R,78896511,C,13238.92
003,R,61194129,E,5735.72
010,R,52245158,E,6245.21
004,D,24635057,E,10930.03
010,D,68867119,C,7898.47
010,R,64178375,C,12793.39
002,D,86772800,E,6407.75
003,R,57771780,C,6179.99
002,D,31595728,E,3311.12
003,R,93633726,E,10854.88
001,D,12864957,C,11398.62
003,D,32885396,C,4512.31
001,D,92203827,C,15472.68
002,D,45980439,E,5991.54
010,R,58450819,C,15638.58
004,D,38538953,E,12602.91
002,R,45980439,E,16148.03
004,R,32958561,E,12524.37
003,R,84774576,E,4709.11
003,R,83285634,C,2427.69
004,R,54852765,C,11698.97
001,R,96839968,E,16439.67
004,R,62674098,E,10456.72
002,R,56192459,C,10093.28
003,R,41649356,E,6515.48
002,R,23098509,E,10380.74
